Timestamp,Is holiday,Real temperature,Feels like temperature,Humidity,Speed of wind,PM25 pollution,Atmospheric CO2,Weather type,No. of shared scooter rides
2015-01-05 1:00:00,0,4.0°C,,93.00%,5.0 km/h,10.67 μg/m3,406.28ppm,Cloudy,67
2015-01-05 2:00:00,0,5.0°C,4.0°C,87.00%,6.0 km/h,6.88 μg/m3,407.47ppm,Cloudy,32
2015-01-05 3:00:00,0,,4.5°C,84.00%,7.5 km/h,6.41 μg/m3,401.75ppm,Cloudy,22
2015-01-05 4:00:00,0,6.5°C,5.0°C,84.00%,8.0 km/h,8.12 μg/m3,403.0ppm,Cloudy,38
2015-01-05 5:00:00,0,6.0°C,5.5°C,87.00%,5.0 km/h,9.09 μg/m3,406.86ppm,Cloudy,81
2015-01-05 6:00:00,0,7.0°C,6.5°C,81.00%,5.0 km/h,5.43 μg/m3,402.05ppm,Broken clouds,444
2015-01-05 7:00:00,0,7.0°C,6.0°C,81.00%,6.5 km/h,7.51 μg/m3,405.14ppm,Broken clouds,1597
2015-01-05 8:00:00,0,8.0°C,7.5°C,79.00%,5.0 km/h,6.47 μg/m3,406.45ppm,Broken clouds,3161
2015-01-05 9:00:00,0,8.0°C,7.0°C,82.00%,6.0 km/h,9.5 μg/m3,405.64ppm,Broken clouds,1342
2015-01-05 10:00:00,0,9.0°C,8.0°C,84.50%,6.5 km/h,7.26 μg/m3,404.81ppm,Broken clouds,568
2015-01-05 11:00:00,0,9.0°C,7.5°C,90.50%,10.0 km/h,9.8 μg/m3,407.75ppm,Broken clouds,584
2015-01-05 12:00:00,0,10.0°C,8.0°C,85.00%,11.0 km/h,7.04 μg/m3,406.67ppm,Broken clouds,762
2015-01-05 13:00:00,0,10.0°C,8.5°C,82.00%,10.0 km/h,8.57 μg/m3,409.41ppm,Broken clouds,873
2015-01-05 14:00:00,0,10.0°C,9.0°C,82.00%,9.0 km/h,6.04 μg/m3,402.76ppm,Broken clouds,672
2015-01-05 15:00:00,0,10.0°C,8.5°C,79.00%,10.0 km/h,7.95 μg/m3,403.95ppm,Broken clouds,807
2015-01-05 16:00:00,0,10.0°C,8.5°C,73.50%,13.0 km/h,6.47 μg/m3,404.87ppm,Broken clouds,1192
2015-01-05 17:00:00,0,9.5°C,7.5°C,,12.0 km/h,10.4 μg/m3,407.6ppm,Broken clouds,2761
2015-01-05 18:00:00,0,9.5°C,7.5°C,69.00%,14.0 km/h,9.72 μg/m3,406.49ppm,Broken clouds,2389
2015-01-05 19:00:00,0,9.0°C,,71.00%,14.0 km/h,8.44 μg/m3,404.19ppm,Broken clouds,1274
2015-01-05 20:00:00,0,9.0°C,7.0°C,,14.0 km/h,9.65 μg/m3,403.04ppm,Broken clouds,696
2015-01-05 21:00:00,0,9.0°C,7.0°C,71.00%,11.0 km/h,7.36 μg/m3,402.82ppm,Broken clouds,411
2015-01-05 22:00:00,0,9.0°C,7.5°C,71.00%,10.0 km/h,9.03 μg/m3,408.49ppm,Cloudy,324
2015-01-05 23:00:00,0,8.5°C,7.5°C,73.50%,8.0 km/h,7.99 μg/m3,404.95ppm,Cloudy,192
2015-01-06 0:00:00,0,8.0°C,6.5°C,76.00%,8.0 km/h,8.88 μg/m3,405.4ppm,Cloudy,91
2015-01-06 1:00:00,0,8.0°C,6.5°C,76.00%,8.0 km/h,8.3 μg/m3,403.01ppm,Cloudy,73
2015-01-06 2:00:00,0,8.0°C,6.0°C,76.00%,11.0 km/h,8.03 μg/m3,405.06ppm,Cloudy,33
2015-01-06 3:00:00,0,,,76.00%,14.0 km/h,5.4 μg/m3,403.29ppm,Cloudy,19
2015-01-06 4:00:00,0,8.5°C,6.5°C,73.50%,11.0 km/h,7.14 μg/m3,405.26ppm,Cloudy,40
2015-01-06 5:00:00,0,8.0°C,5.5°C,82.00%,14.0 km/h,10.83 μg/m3,404.33ppm,Cloudy,74
2015-01-06 6:00:00,0,8.0°C,,84.50%,15.0 km/h,7.94 μg/m3,403.57ppm,Broken clouds,530
2015-01-06 7:00:00,0,9.0°C,7.0°C,82.00%,13.0 km/h,7.04 μg/m3,407.4ppm,Broken clouds,1715
2015-01-06 8:00:00,0,9.0°C,7.0°C,82.00%,12.0 km/h,8.19 μg/m3,407.56ppm,Rain,3534
2015-01-06 9:00:00,0,9.0°C,6.5°C,87.00%,16.0 km/h,5.83 μg/m3,405.99ppm,Rain,1573
2015-01-06 10:00:00,0,10.0°C,7.5°C,88.00%,19.5 km/h,7.41 μg/m3,401.41ppm,Broken clouds,635
2015-01-06 11:00:00,0,10.0°C,8.0°C,88.00%,18.0 km/h,8.4 μg/m3,402.89ppm,Broken clouds,550
2015-01-06 12:00:00,0,11.0°C,11.0°C,85.00%,19.0 km/h,8.86 μg/m3,402.97ppm,Rain,395
2015-01-06 13:00:00,0,9.5°C,6.0°C,84.50%,27.5 km/h,8.64 μg/m3,408.76ppm,Broken clouds,426
2015-01-06 14:00:00,0,9.0°C,6.0°C,71.00%,26.0 km/h,10.39 μg/m3,407.12ppm,Broken clouds,579
2015-01-06 15:00:00,0,8.0°C,4.5°C,71.00%,23.0 km/h,7.11 μg/m3,407.72ppm,Scattered clouds,718
2015-01-06 16:00:00,0,8.0°C,5.0°C,68.50%,19.5 km/h,5.86 μg/m3,403.5ppm,Scattered clouds,1184
2015-01-06 17:00:00,0,7.5°C,4.0°C,71.00%,22.0 km/h,7.58 μg/m3,401.93ppm,Clear,2662
2015-01-06 18:00:00,0,7.0°C,4.0°C,71.00%,17.5 km/h,7.27 μg/m3,407.03ppm,Clear,2610
2015-01-06 19:00:00,0,6.0°C,3.0°C,76.00%,15.0 km/h,8.4 μg/m3,400.47ppm,Clear,1402
2015-01-06 20:00:00,0,,2.5°C,78.50%,15.0 km/h,7.68 μg/m3,405.16ppm,Clear,720
2015-01-06 21:00:00,0,5.0°C,2.0°C,81.00%,15.0 km/h,8.33 μg/m3,406.21ppm,Clear,494
2015-01-06 22:00:00,0,4.5°C,,81.00%,13.0 km/h,8.27 μg/m3,402.76ppm,Clear,344
2015-01-06 23:00:00,0,4.0°C,1.0°C,84.00%,12.0 km/h,9.44 μg/m3,408.02ppm,Clear,212
2015-01-07 0:00:00,0,4.0°C,1.0°C,81.00%,12.0 km/h,8.09 μg/m3,404.43ppm,Clear,102
2015-01-07 1:00:00,0,4.0°C,1.0°C,81.00%,11.0 km/h,8.42 μg/m3,405.65ppm,Clear,60
2015-01-07 2:00:00,0,,1.5°C,81.00%,10.0 km/h,10.79 μg/m3,406.07ppm,Clear,33
2015-01-07 3:00:00,0,3.5°C,1.0°C,84.00%,9.0 km/h,5.66 μg/m3,405.38ppm,Scattered clouds,26
2015-01-07 4:00:00,0,4.0°C,,81.00%,10.0 km/h,8.39 μg/m3,403.88ppm,Scattered clouds,33
2015-01-07 5:00:00,0,4.0°C,2.0°C,87.00%,9.0 km/h,7.94 μg/m3,403.38ppm,Clear,80
2015-01-07 6:00:00,0,5.0°C,2.5°C,,10.0 km/h,8.18 μg/m3,405.76ppm,Clear,526
2015-01-07 7:00:00,0,5.5°C,2.5°C,81.00%,13.0 km/h,8.98 μg/m3,406.26ppm,Clear,1757
2015-01-07 8:00:00,0,6.5°C,3.5°C,81.00%,15.0 km/h,6.86 μg/m3,406.96ppm,Scattered clouds,3618
2015-01-07 9:00:00,0,8.0°C,,76.00%,19.0 km/h,7.26 μg/m3,404.7ppm,Broken clouds,1714
2015-01-07 10:00:00,0,8.0°C,5.0°C,82.00%,19.5 km/h,9.21 μg/m3,405.16ppm,Scattered clouds,763
2015-01-07 11:00:00,0,9.0°C,6.0°C,76.00%,21.0 km/h,7.88 μg/m3,403.23ppm,Scattered clouds,690
2015-01-07 12:00:00,0,,5.5°C,76.00%,27.0 km/h,6.67 μg/m3,407.05ppm,Scattered clouds,913
2015-01-07 13:00:00,0,,,71.50%,28.0 km/h,9.29 μg/m3,403.31ppm,Scattered clouds,982
2015-01-07 14:00:00,0,10.0°C,6.5°C,62.00%,28.5 km/h,9.06 μg/m3,406.18ppm,Scattered clouds,783
2015-01-07 15:00:00,0,9.0°C,6.0°C,68.50%,,8.35 μg/m3,407.03ppm,Scattered clouds,794
2015-01-07 16:00:00,0,9.0°C,6.0°C,76.00%,25.0 km/h,8.72 μg/m3,406.99ppm,Broken clouds,1171
2015-01-07 17:00:00,0,9.5°C,6.5°C,71.50%,24.0 km/h,8.95 μg/m3,402.28ppm,Broken clouds,2647
2015-01-07 18:00:00,0,10.0°C,7.0°C,71.00%,30.0 km/h,7.97 μg/m3,401.91ppm,Broken clouds,2579
2015-01-07 20:00:00,0,10.0°C,6.5°C,79.00%,30.5 km/h,8.57 μg/m3,403.16ppm,Broken clouds,657
2015-01-07 21:00:00,0,10.0°C,7.0°C,82.00%,27.0 km/h,6.31 μg/m3,402.88ppm,Rain,516
2015-01-07 22:00:00,0,10.0°C,7.0°C,82.00%,,7.79 μg/m3,409.22ppm,Rain,414
2015-01-07 23:00:00,0,10.0°C,7.0°C,85.00%,,9.55 μg/m3,405.74ppm,Rain,206
2015-01-08 0:00:00,0,11.0°C,11.0°C,,26.0 km/h,11.4 μg/m3,402.47ppm,Cloudy,123
2015-01-08 1:00:00,0,11.5°C,11.5°C,85.00%,24.0 km/h,8.28 μg/m3,403.01ppm,Broken clouds,56
2015-01-08 2:00:00,0,,12.0°C,82.00%,25.0 km/h,6.74 μg/m3,408.13ppm,Broken clouds,51
2015-01-08 3:00:00,0,12.0°C,,85.00%,22.0 km/h,7.57 μg/m3,407.59ppm,Broken clouds,33
2015-01-08 4:00:00,0,12.0°C,12.0°C,88.00%,20.5 km/h,5.92 μg/m3,402.35ppm,Rain,32
2015-01-08 5:00:00,0,12.0°C,12.0°C,80.00%,,9.11 μg/m3,406.55ppm,Rain,87
2015-01-08 6:00:00,0,11.5°C,11.5°C,74.50%,,8.17 μg/m3,404.37ppm,Broken clouds,511
2015-01-08 7:00:00,0,10.5°C,9.5°C,82.50%,,6.67 μg/m3,404.59ppm,Rain,982
2015-01-08 8:00:00,0,9.5°C,7.5°C,87.50%,14.0 km/h,7.81 μg/m3,402.29ppm,Rain,1228
2015-01-08 9:00:00,0,9.0°C,7.0°C,87.00%,13.0 km/h,9.16 μg/m3,404.21ppm,Rain,573
2015-01-08 10:00:00,0,9.0°C,7.0°C,87.00%,14.0 km/h,8.18 μg/m3,402.93ppm,Rain,185
2015-01-08 11:00:00,0,9.0°C,6.0°C,82.00%,20.5 km/h,7.07 μg/m3,407.53ppm,Rain,193
2015-01-08 12:00:00,0,9.0°C,6.5°C,84.50%,17.0 km/h,9.63 μg/m3,403.06ppm,Scattered clouds,522
2015-01-08 13:00:00,0,,5.5°C,79.00%,27.0 km/h,8.62 μg/m3,407.32ppm,Scattered clouds,672
2015-01-08 14:00:00,0,10.0°C,,71.00%,22.0 km/h,6.95 μg/m3,404.22ppm,Scattered clouds,761
2015-01-08 15:00:00,0,9.0°C,6.0°C,71.00%,22.0 km/h,8.14 μg/m3,401.16ppm,Scattered clouds,781
2015-01-08 16:00:00,0,9.0°C,,71.00%,19.5 km/h,4.93 μg/m3,403.68ppm,Scattered clouds,1212
2015-01-08 17:00:00,0,9.0°C,6.0°C,76.00%,,8.49 μg/m3,402.46ppm,Scattered clouds,2351
2015-01-08 18:00:00,0,8.5°C,5.5°C,73.50%,22.5 km/h,12.29 μg/m3,405.87ppm,Clear,2110
2015-01-08 19:00:00,0,8.0°C,5.0°C,73.50%,,9.74 μg/m3,402.55ppm,Clear,1239
2015-01-08 20:00:00,0,8.0°C,5.0°C,76.00%,17.0 km/h,7.84 μg/m3,403.98ppm,Clear,752
2015-01-08 21:00:00,0,8.0°C,4.5°C,76.00%,20.5 km/h,8.47 μg/m3,405.52ppm,Clear,457
2015-01-08 22:00:00,0,8.5°C,,,21.0 km/h,8.91 μg/m3,402.46ppm,Clear,423
2015-01-08 23:00:00,0,9.0°C,5.5°C,76.00%,27.0 km/h,9.01 μg/m3,407.64ppm,Scattered clouds,267
2015-01-09 0:00:00,0,10.0°C,7.0°C,71.00%,28.0 km/h,7.92 μg/m3,405.26ppm,Scattered clouds,147
2015-01-09 1:00:00,0,10.0°C,7.0°C,73.50%,30.0 km/h,4.82 μg/m3,405.03ppm,Rain,60
2015-01-09 2:00:00,0,10.0°C,6.5°C,79.00%,29.5 km/h,7.57 μg/m3,401.84ppm,Rain,65
2015-01-09 3:00:00,0,,11.0°C,79.50%,29.0 km/h,7.19 μg/m3,403.81ppm,Broken clouds,42
2015-01-09 4:00:00,0,11.0°C,11.0°C,85.00%,33.0 km/h,7.94 μg/m3,404.3ppm,Broken clouds,47
2015-01-09 5:00:00,0,,11.5°C,85.00%,33.0 km/h,6.97 μg/m3,402.39ppm,Broken clouds,85
2015-01-09 6:00:00,0,12.0°C,12.0°C,,32.5 km/h,9.0 μg/m3,406.57ppm,Broken clouds,441
2015-01-09 7:00:00,0,12.0°C,12.0°C,,31.5 km/h,11.13 μg/m3,404.9ppm,Broken clouds,1593
2015-01-09 8:00:00,0,12.0°C,12.0°C,79.50%,25.0 km/h,9.55 μg/m3,403.1ppm,Scattered clouds,3505
2015-01-09 9:00:00,0,12.0°C,12.0°C,74.50%,30.0 km/h,7.98 μg/m3,404.14ppm,Scattered clouds,1768
2015-01-09 10:00:00,0,12.5°C,12.5°C,69.50%,29.5 km/h,10.36 μg/m3,404.89ppm,Clear,799
2015-01-09 11:00:00,0,13.0°C,13.0°C,67.00%,28.0 km/h,9.5 μg/m3,408.8ppm,Clear,806
2015-01-09 12:00:00,0,13.0°C,13.0°C,67.00%,26.0 km/h,9.18 μg/m3,405.61ppm,Clear,1052
2015-01-09 13:00:00,0,13.0°C,13.0°C,63.00%,30.0 km/h,7.23 μg/m3,403.19ppm,Clear,1078
2015-01-09 14:00:00,0,13.0°C,13.0°C,63.00%,26.0 km/h,7.87 μg/m3,403.48ppm,Scattered clouds,976
2015-01-09 15:00:00,0,13.5°C,13.5°C,,33.5 km/h,8.96 μg/m3,403.99ppm,Rain,912
2015-01-09 16:00:00,0,,13.0°C,79.50%,37.0 km/h,11.32 μg/m3,405.96ppm,Rain,1229
2015-01-09 17:00:00,0,13.5°C,13.5°C,85.00%,35.0 km/h,10.24 μg/m3,405.59ppm,Rain,2409
2015-01-09 18:00:00,0,15.0°C,15.0°C,82.00%,36.0 km/h,8.97 μg/m3,405.75ppm,Rain,1983
2015-01-09 19:00:00,0,15.5°C,15.5°C,77.00%,41.0 km/h,8.33 μg/m3,404.6ppm,Rain,1094
2015-01-09 20:00:00,0,,,72.00%,44.0 km/h,9.23 μg/m3,401.68ppm,Broken clouds,686
2015-01-09 21:00:00,0,15.0°C,15.0°C,68.00%,41.0 km/h,8.89 μg/m3,405.88ppm,Broken clouds,443
2015-01-09 22:00:00,0,15.0°C,15.0°C,68.00%,40.0 km/h,10.38 μg/m3,403.24ppm,Broken clouds,464
2015-01-09 23:00:00,0,14.0°C,14.0°C,77.00%,41.5 km/h,6.45 μg/m3,405.87ppm,Cloudy,420
2015-01-10 0:00:00,0,14.0°C,,77.00%,39.0 km/h,8.14 μg/m3,402.32ppm,Cloudy,392
2015-01-10 1:00:00,0,14.0°C,14.0°C,77.00%,40.0 km/h,9.23 μg/m3,404.76ppm,Cloudy,277
2015-01-10 2:00:00,0,14.0°C,14.0°C,72.00%,40.5 km/h,10.23 μg/m3,406.27ppm,Broken clouds,189
2015-01-10 3:00:00,0,13.0°C,13.0°C,77.00%,41.0 km/h,11.02 μg/m3,408.77ppm,Broken clouds,153
2015-01-10 4:00:00,0,13.0°C,13.0°C,77.00%,36.0 km/h,5.9 μg/m3,403.73ppm,Broken clouds,90
2015-01-10 5:00:00,0,13.0°C,13.0°C,77.00%,35.0 km/h,7.01 μg/m3,407.71ppm,Broken clouds,52
2015-01-10 6:00:00,0,,13.0°C,82.00%,35.0 km/h,7.99 μg/m3,406.87ppm,Rain,69
2015-01-10 7:00:00,0,13.0°C,13.0°C,79.50%,35.0 km/h,6.23 μg/m3,404.1ppm,Broken clouds,143
2015-01-10 8:00:00,0,14.0°C,,74.50%,,10.59 μg/m3,404.84ppm,Broken clouds,321
2015-01-10 9:00:00,0,14.0°C,14.0°C,77.00%,48.0 km/h,8.28 μg/m3,403.73ppm,Broken clouds,619
2015-01-10 10:00:00,0,14.0°C,14.0°C,74.50%,41.0 km/h,9.85 μg/m3,403.37ppm,Rain,757
2015-01-10 11:00:00,0,11.5°C,11.5°C,67.50%,42.5 km/h,7.83 μg/m3,401.92ppm,Broken clouds,800
2015-01-10 12:00:00,0,11.5°C,11.5°C,58.00%,41.5 km/h,8.71 μg/m3,402.85ppm,Scattered clouds,1191
2015-01-10 13:00:00,0,10.5°C,8.5°C,54.00%,38.0 km/h,6.05 μg/m3,399.76ppm,Broken clouds,1395
2015-01-10 14:00:00,0,9.0°C,4.5°C,54.00%,42.5 km/h,6.5 μg/m3,405.11ppm,Broken clouds,1358
2015-01-10 15:00:00,0,9.0°C,5.0°C,48.00%,35.0 km/h,6.53 μg/m3,407.88ppm,Scattered clouds,1436
2015-01-10 16:00:00,0,8.0°C,4.0°C,51.50%,27.0 km/h,5.52 μg/m3,405.36ppm,Clear,1270
2015-01-10 17:00:00,0,8.0°C,4.0°C,51.50%,29.0 km/h,9.63 μg/m3,404.97ppm,Scattered clouds,1054
2015-01-10 18:00:00,0,7.0°C,3.0°C,55.00%,26.0 km/h,8.07 μg/m3,403.66ppm,Clear,849
2015-01-10 19:00:00,0,6.0°C,2.0°C,57.00%,26.0 km/h,9.68 μg/m3,408.69ppm,Clear,720
2015-01-10 20:00:00,0,,2.0°C,57.00%,25.0 km/h,7.92 μg/m3,406.97ppm,Clear,556
2015-01-10 21:00:00,0,6.0°C,2.0°C,57.00%,21.0 km/h,9.78 μg/m3,402.35ppm,Clear,349
2015-01-10 22:00:00,0,5.0°C,1.0°C,66.00%,20.0 km/h,9.52 μg/m3,409.08ppm,Clear,335
2015-01-10 23:00:00,0,5.0°C,1.0°C,66.00%,19.5 km/h,7.91 μg/m3,407.97ppm,Clear,334
2015-01-11 0:00:00,0,4.5°C,,72.50%,22.0 km/h,8.39 μg/m3,402.81ppm,Clear,360
2015-01-11 1:00:00,0,4.0°C,-0.5°C,75.00%,22.0 km/h,8.62 μg/m3,406.49ppm,Clear,255
2015-01-11 2:00:00,0,4.0°C,-0.5°C,75.00%,23.0 km/h,9.77 μg/m3,404.55ppm,Clear,198
2015-01-11 3:00:00,0,4.0°C,-1.0°C,75.00%,27.0 km/h,8.04 μg/m3,400.99ppm,Scattered clouds,135
2015-01-11 4:00:00,0,4.0°C,-1.0°C,72.50%,28.0 km/h,8.63 μg/m3,403.1ppm,Clear,74
2015-01-11 5:00:00,0,4.0°C,-1.0°C,70.00%,27.0 km/h,5.88 μg/m3,406.45ppm,Clear,57
2015-01-11 6:00:00,0,4.5°C,0.0°C,68.00%,24.0 km/h,6.77 μg/m3,406.2ppm,Clear,67
2015-01-11 7:00:00,0,5.0°C,1.0°C,66.00%,24.0 km/h,6.99 μg/m3,410.45ppm,Clear,93
2015-01-11 8:00:00,0,,,,29.5 km/h,8.87 μg/m3,405.29ppm,Clear,241
2015-01-11 9:00:00,0,5.5°C,0.5°C,63.50%,29.0 km/h,7.03 μg/m3,401.31ppm,Clear,538
2015-01-11 10:00:00,0,6.5°C,2.0°C,61.00%,30.0 km/h,8.26 μg/m3,402.96ppm,Clear,922
2015-01-11 11:00:00,0,7.5°C,3.5°C,,27.0 km/h,7.84 μg/m3,404.02ppm,Clear,1248
2015-01-11 12:00:00,0,8.5°C,4.5°C,55.50%,27.0 km/h,8.09 μg/m3,404.32ppm,Clear,1555
2015-01-11 13:00:00,0,9.0°C,5.0°C,56.00%,28.0 km/h,9.39 μg/m3,404.25ppm,Scattered clouds,1813
2015-01-11 14:00:00,0,9.0°C,5.0°C,,28.0 km/h,8.34 μg/m3,405.54ppm,Scattered clouds,1639
2015-01-11 15:00:00,0,8.5°C,5.0°C,64.00%,26.0 km/h,7.71 μg/m3,407.89ppm,Broken clouds,1464
2015-01-11 16:00:00,0,8.0°C,4.5°C,66.00%,23.0 km/h,8.69 μg/m3,405.68ppm,Broken clouds,1097
2015-01-11 17:00:00,0,8.0°C,5.0°C,71.00%,20.5 km/h,10.51 μg/m3,401.03ppm,Rain,827
2015-01-11 18:00:00,0,8.0°C,4.0°C,73.50%,25.0 km/h,8.17 μg/m3,405.62ppm,Rain,519
2015-01-11 19:00:00,0,8.0°C,4.0°C,73.50%,,6.16 μg/m3,401.27ppm,Broken clouds,493
2015-01-11 20:00:00,0,,4.5°C,71.00%,26.0 km/h,6.03 μg/m3,403.56ppm,Rain,315
2015-01-11 21:00:00,0,8.0°C,4.0°C,71.00%,30.0 km/h,7.58 μg/m3,408.36ppm,Rain,260
2015-01-11 22:00:00,0,9.0°C,5.0°C,66.00%,37.0 km/h,6.29 μg/m3,400.79ppm,Rain,237
2015-01-11 23:00:00,0,9.0°C,5.0°C,71.00%,30.5 km/h,4.41 μg/m3,408.77ppm,Broken clouds,168
2015-01-12 0:00:00,0,9.0°C,5.0°C,68.50%,29.0 km/h,7.56 μg/m3,405.9ppm,Scattered clouds,117
2015-01-12 1:00:00,0,10.0°C,6.0°C,60.00%,34.0 km/h,8.57 μg/m3,405.51ppm,Cloudy,45
2015-01-12 2:00:00,0,10.0°C,7.0°C,64.50%,30.0 km/h,10.08 μg/m3,402.14ppm,Cloudy,29
2015-01-12 3:00:00,0,10.0°C,6.5°C,67.00%,30.5 km/h,7.97 μg/m3,405.0ppm,Broken clouds,36
2015-01-12 4:00:00,0,10.0°C,6.5°C,67.00%,33.5 km/h,8.46 μg/m3,403.83ppm,Broken clouds,26
2015-01-12 5:00:00,0,10.0°C,6.0°C,67.00%,35.0 km/h,8.77 μg/m3,403.09ppm,Broken clouds,86
2015-01-12 6:00:00,0,10.0°C,6.0°C,73.50%,31.0 km/h,8.12 μg/m3,404.57ppm,Rain,433
2015-01-12 7:00:00,0,10.0°C,7.0°C,76.00%,30.0 km/h,7.0 μg/m3,409.53ppm,Rain,1541
2015-01-12 8:00:00,0,10.0°C,6.0°C,76.00%,31.0 km/h,11.26 μg/m3,406.4ppm,Broken clouds,3418
2015-01-12 9:00:00,0,11.5°C,11.5°C,67.00%,32.5 km/h,6.52 μg/m3,404.38ppm,Broken clouds,1832
2015-01-12 10:00:00,0,12.0°C,12.0°C,67.00%,33.0 km/h,8.62 μg/m3,405.57ppm,Broken clouds,723
2015-01-12 11:00:00,0,12.0°C,12.0°C,74.50%,39.0 km/h,6.83 μg/m3,403.96ppm,Broken clouds,654
2015-01-12 12:00:00,0,12.0°C,12.0°C,79.50%,29.5 km/h,8.17 μg/m3,406.24ppm,Broken clouds,700
2015-01-12 13:00:00,0,,12.0°C,79.50%,29.5 km/h,8.61 μg/m3,402.37ppm,Broken clouds,631
2015-01-12 14:00:00,0,12.5°C,12.5°C,77.00%,33.0 km/h,7.7 μg/m3,406.54ppm,Rain,520
2015-01-12 15:00:00,0,12.0°C,12.0°C,82.00%,25.0 km/h,6.18 μg/m3,401.77ppm,Rain,374
2015-01-12 16:00:00,0,12.0°C,12.0°C,82.00%,22.5 km/h,7.48 μg/m3,404.25ppm,Rain,669
2015-01-12 17:00:00,0,11.5°C,11.5°C,88.00%,22.0 km/h,9.69 μg/m3,407.04ppm,Rain,1510
2015-01-12 18:00:00,0,11.0°C,11.0°C,94.00%,22.0 km/h,5.75 μg/m3,408.46ppm,Rain,1186
2015-01-12 19:00:00,0,11.5°C,11.5°C,,22.0 km/h,10.45 μg/m3,400.33ppm,Rain,1136
2015-01-12 20:00:00,0,12.0°C,12.0°C,82.00%,20.0 km/h,8.14 μg/m3,402.46ppm,Cloudy,753
2015-01-12 21:00:00,0,12.0°C,12.0°C,85.00%,18.5 km/h,9.07 μg/m3,404.87ppm,Rain,510
2015-01-12 22:00:00,0,12.0°C,,88.00%,21.0 km/h,6.42 μg/m3,406.29ppm,Rain,184
2015-01-12 23:00:00,0,12.0°C,12.0°C,88.00%,23.0 km/h,7.78 μg/m3,403.63ppm,Rain,86
2015-01-13 0:00:00,0,12.0°C,12.0°C,88.00%,25.0 km/h,7.0 μg/m3,404.8ppm,Rain,64
2015-01-13 1:00:00,0,12.0°C,,88.00%,30.0 km/h,8.44 μg/m3,404.92ppm,Rain,29
2015-01-13 2:00:00,0,11.5°C,11.5°C,88.00%,24.5 km/h,6.36 μg/m3,404.72ppm,Rain,21
